구분,코드,이름
상품구분(해외통관),AIAEAH00,"화장품/향수/미용 > 색조메이크업 > 아이브로우"
상품구분(해외통관),AIAEAB00,"화장품/향수/미용 > 색조메이크업 > 립스틱/립글로즈"
상품구분(해외통관),AIAEAC00,"화장품/향수/미용 > 색조메이크업 > 틴트"
상품구분(해외통관),AIAEAG00,"화장품/향수/미용 > 색조메이크업 > 메이크업세트"
상품구분(해외통관),AIAEAA00,"화장품/향수/미용 > 색조메이크업 > 기타"
상품구분(해외통관),AIAI0000,"화장품/향수/미용 > 네일아트"
상품구분(해외통관),AIAJAC00,"화장품/향수/미용 > 이미용소품 > 메이크업브러쉬/거울"
상품구분(해외통관),AIAJAD00,"화장품/향수/미용 > 이미용소품 > 수정가위/칼류"
상품구분(해외통관),AIAJAE00,"화장품/향수/미용 > 이미용소품 > 미용가위/헤어관리기"
상품구분(해외통관),AIAJAF00,"화장품/향수/미용 > 이미용소품 > 기름종이/화장솜"
상품구분(해외통관),AIAJAG00,"화장품/향수/미용 > 이미용소품 > 면봉"
상품구분(해외통관),AIAJAH00,"화장품/향수/미용 > 이미용소품 > 스펀지/퍼프"
상품구분(해외통관),AIAJAI00,"화장품/향수/미용 > 이미용소품 > 분통(파우더)"
상품구분(해외통관),AIAJAA00,"화장품/향수/미용 > 이미용소품 > 손톱관리용품"
상품구분(해외통관),AIAJAK00,"화장품/향수/미용 > 이미용소품 > 위생/생리용품"
상품구분(해외통관),AIAJAJ00,"화장품/향수/미용 > 이미용소품 > 이미용소품류"
상품구분(해외통관),AIAJAL00,"화장품/향수/미용 > 이미용소품 > 메이크업정리함/파우치"
상품구분(해외통관),AIAJAB00,"화장품/향수/미용 > 이미용소품 > 기타"
상품구분(해외통관),AIAK0000,"화장품/향수/미용 > 헤어용품"
상품구분(해외통관),AIAL0000,"화장품/향수/미용 > 향수"
상품구분(해외통관),AJAAAA00,"건강용품 > 건강용품 > 건강관리용품"
상품구분(해외통관),AJAAABAB,"건강용품 > 건강용품 > 건강측정기 > 체중계"
상품구분(해외통관),AJAAABAC,"건강용품 > 건강용품 > 건강측정기 > 체온계"
상품구분(해외통관),AJAAABAD,"건강용품 > 건강용품 > 건강측정기 > 혈압측정기"
상품구분(해외통관),AJAAABAE,"건강용품 > 건강용품 > 건강측정기 > 키/신장측정"
상품구분(해외통관),AJAAABAF,"건강용품 > 건강용품 > 건강측정기 > 심박측정기"
상품구분(해외통관),AJAAABAG,"건강용품 > 건강용품 > 건강측정기 > 만보기"
상품구분(해외통관),AJAAABAA,"건강용품 > 건강용품 > 건강측정기 > 기타 건강측정기"
상품구분(해외통관),AJAAAC00,"건강용품 > 건강용품 > 상비약품"
상품구분(해외통관),AJAAAD00,"건강용품 > 건강용품 > 수면용품"
상품구분(해외통관),AJAAAE00,"건강용품 > 건강용품 > 구급약품"
상품구분(해외통관),AJAAAF00,"건강용품 > 건강용품 > 구강용품"
상품구분(해외통관),AJAAAG00,"건강용품 > 건강용품 > 의료용품"
상품구분(해외통관),AJAAAH00,"건강용품 > 건강용품 > 성인용품"
상품구분(해외통관),AJAAAI00,"건강용품 > 건강용품 > 세정제"
상품구분(해외통관),AJAAAJ00,"건강용품 > 건강용품 > 마스크"
상품구분(해외통관),AJAAAK00,"건강용품 > 건강용품 > 안마기"
상품구분(해외통관),AJAAAL00,"건강용품 > 건강용품 > 기타용품"
상품구분(해외통관),AJABAA00,"건강용품 > 건강식품 > 건강보조식품"
상품구분(해외통관),AJABAB00,"건강용품 > 건강식품 > 영양제"
상품구분(해외통관),AJABAC00,"건강용품 > 건강식품 > 선식"
상품구분(해외통관),AJABAD00,"건강용품 > 건강식품 > 다이어트 음료"
상품구분(해외통관),AJABAE00,"건강용품 > 건강식품 > 기타용품"
상품구분(해외통관),AJACAA00,"건강용품 > 약품 > 알약"
상품구분(해외통관),AJACAB00,"건강용품 > 약품 > 가루약"
상품구분(해외통관),AJACAC00,"건강용품 > 약품 > 시럽약"
상품구분(해외통관),AJACAD00,"건강용품 > 약품 > 연고"
상품구분(해외통관),AJACAE00,"건강용품 > 약품 > 기타용품"
상품구분(해외통관),AJADAA00,"건강용품 > 보조용품 > 안경"
상품구분(해외통관),AJADAB00,"건강용품 > 보조용품 > 렌즈"
상품구분(해외통관),AJADAC00,"건강용품 > 보조용품 > 보청기"
상품구분(해외통관),AJADAD00,"건강용품 > 보조용품 > 휠체어"
상품구분(해외통관),AJADAE00,"건강용품 > 보조용품 > 지팡이"
상품구분(해외통관),AJADAF00,"건강용품 > 보조용품 > 교정기"
상품구분(해외통관),AJADAG00,"건강용품 > 보조용품 > 보호대"
상품구분(해외통관),AJADAH00,"건강용품 > 보조용품 > 기타용품"
상품구분(해외통관),AKAAAAAA,"스포츠/레저 > 수영 > 여성수영복 > 전신수영복"
상품구분(해외통관),AKAAAAAC,"스포츠/레저 > 수영 > 여성수영복 > 비키니 상의"
상품구분(해외통관),AKAAAAAD,"스포츠/레저 > 수영 > 여성수영복 > 비키니 하의"
상품구분(해외통관),AKAAAAAB,"스포츠/레저 > 수영 > 여성수영복 > 비키니 상하의세트"
상품구분(해외통관),AKAAAAAE,"스포츠/레저 > 수영 > 여성수영복 > 래시가드 상의"
상품구분(해외통관),AKAAAAAF,"스포츠/레저 > 수영 > 여성수영복 > 래시가드 하의"
상품구분(해외통관),AKAAAAAG,"스포츠/레저 > 수영 > 여성수영복 > 래시가드 상하의세트"
상품구분(해외통관),AKAAAAAH,"스포츠/레저 > 수영 > 여성수영복 > 반신수영복"
상품구분(해외통관),AKAAAFAA,"스포츠/레저 > 수영 > 남성수영복 > 전신수영복"
상품구분(해외통관),AKAAAFAB,"스포츠/레저 > 수영 > 남성수영복 > 반신수영복"
상품구분(해외통관),AKAAAFAC,"스포츠/레저 > 수영 > 남성수영복 > 수영복 하의"
상품구분(해외통관),AKAAAFAD,"스포츠/레저 > 수영 > 남성수영복 > 래시가드 상의"
상품구분(해외통관),AKAAAFAE,"스포츠/레저 > 수영 > 남성수영복 > 래시가드 하의"
상품구분(해외통관),AKAAAFAF,"스포츠/레저 > 수영 > 남성수영복 > 래시가드 상하의세트"
상품구분(해외통관),AKAAAC00,"스포츠/레저 > 수영 > 커플비치웨어"
상품구분(해외통관),AKAAADAC,"스포츠/레저 > 수영 > 여성비치웨어 > 상의"
상품구분(해외통관),AKAAADAB,"스포츠/레저 > 수영 > 여성비치웨어 > 하의"
상품구분(해외통관),AKAAADAD,"스포츠/레저 > 수영 > 여성비치웨어 > 스커트"
상품구분(해외통관),AKAAADAA,"스포츠/레저 > 수영 > 여성비치웨어 > 원피스"
상품구분(해외통관),AKAAAEAB,"스포츠/레저 > 수영 > 남성비치웨어 > 상의"
상품구분(해외통관),AKAAAEAA,"스포츠/레저 > 수영 > 남성비치웨어 > 하의"
상품구분(해외통관),AKAAABAA,"스포츠/레저 > 수영 > 수영용품 > 튜브"
상품구분(해외통관),AKAAABAB,"스포츠/레저 > 수영 > 수영용품 > 기타수영용품"
상품구분(해외통관),AKAAABAC,"스포츠/레저 > 수영 > 수영용품 > 오리발"
상품구분(해외통관),AKAAABAD,"스포츠/레저 > 수영 > 수영용품 > 스노클/마스크"
상품구분(해외통관),AKAAABAE,"스포츠/레저 > 수영 > 수영용품 > 수영모"
상품구분(해외통관),AKAAABAF,"스포츠/레저 > 수영 > 수영용품 > 수영가방"
상품구분(해외통관),AKAAABAG,"스포츠/레저 > 수영 > 수영용품 > 수경"
상품구분(해외통관),AKAAABAH,"스포츠/레저 > 수영 > 수영용품 > 보트"
상품구분(해외통관),AKAAABAI,"스포츠/레저 > 수영 > 수영용품 > 방수팩"
상품구분(해외통관),AKAAABAJ,"스포츠/레저 > 수영 > 수영용품 > 귀마개"
상품구분(해외통관),AKAAABAK,"스포츠/레저 > 수영 > 수영용품 > 구명조끼"
상품구분(해외통관),AKAAABAL,"스포츠/레저 > 수영 > 수영용품 > 풀장"
상품구분(해외통관),AKAAABAM,"스포츠/레저 > 수영 > 수영용품 > 펌프"
상품구분(해외통관),AKABAA00,"스포츠/레저 > 골프 > 골프채"
상품구분(해외통관),AKABAB00,"스포츠/레저 > 골프 > 골프공"
상품구분(해외통관),AKABAD00,"스포츠/레저 > 골프 > 골프화"
상품구분(해외통관),AKABAC00,"스포츠/레저 > 골프 > 기타골프용품"
상품구분(해외통관),AKACAA00,"스포츠/레저 > 헬스 > 헬스용품"
상품구분(해외통관),AKADAA00,"스포츠/레저 > 등산/낚시 > 등산용품"
상품구분(해외통관),AKAEAA00,"스포츠/레저 > 보드/스키 > 보드/스키용품"
상품구분(해외통관),AKAFAA00,"스포츠/레저 > 구기종목 > 공"
상품구분(해외통관),AKAFAB00,"스포츠/레저 > 구기종목 > 라켓/채"
상품구분(해외통관),AKAFAC00,"스포츠/레저 > 구기종목 > 기타 구기용품"
상품구분(해외통관),AKAGAA00,"스포츠/레저 > 격투기 > 격투기용품"
상품구분(해외통관),AKAHAA00,"스포츠/레저 > 캠핑 > 텐트/천막"
상품구분(해외통관),AKAHAB00,"스포츠/레저 > 캠핑 > 텐트/천막용 소품"
상품구분(해외통관),AKAHAC00,"스포츠/레저 > 캠핑 > 캠핑용 테이블"
상품구분(해외통관),AKAHAD00,"스포츠/레저 > 캠핑 > 캠핑용 의자"
상품구분(해외통관),AKAHAE00,"스포츠/레저 > 캠핑 > 해먹"
상품구분(해외통관),AKAHAF00,"스포츠/레저 > 캠핑 > 트레일러/웨건"
상품구분(해외통관),AKAHAG00,"스포츠/레저 > 캠핑 > 캠핑용 조리도구"
상품구분(해외통관),AKAHAH00,"스포츠/레저 > 캠핑 > 버너/토치"
상품구분(해외통관),AKAHAI00,"스포츠/레저 > 캠핑 > 바비큐용품"
상품구분(해외통관),AKAHAJ00,"스포츠/레저 > 캠핑 > 랜턴"
상품구분(해외통관),AKAHAK00,"스포츠/레저 > 캠핑 > 난로"
상품구분(해외통관),AKAHAL00,"스포츠/레저 > 캠핑 > 침낭/매트"
상품구분(해외통관),AKAHAM00,"스포츠/레저 > 캠핑 > 아이스박스"
상품구분(해외통관),AKAIAA00,"스포츠/레저 > 서바이벌게임 > 총"
상품구분(해외통관),AKAIAB00,"스포츠/레저 > 서바이벌게임 > 총알"
상품구분(해외통관),AKAIAC00,"스포츠/레저 > 서바이벌게임 > 서바이벌게임용품"
상품구분(해외통관),AKAJAA00,"스포츠/레저 > 스킨스쿠버 > 스킨스쿠버용품"
상품구분(해외통관),AKAKAA00,"스포츠/레저 > 스케이트 > 스케이트"
상품구분(해외통관),AKAKAB00,"스포츠/레저 > 스케이트 > 스케이트용품"
상품구분(해외통관),ALAAAA00,"가구/인테리어 > 홈데코 > 쿠션/방석"
상품구분(해외통관),ALAAAB00,"가구/인테리어 > 홈데코 > 커버/덮개류"
상품구분(해외통관),ALABAA00,"가구/인테리어 > 주방데코 > 주방장갑"
상품구분(해외통관),ALABAB00,"가구/인테리어 > 주방데코 > 의자덮개"
상품구분(해외통관),ALABAC00,"가구/인테리어 > 주방데코 > 앞치마"
상품구분(해외통관),ALABAD00,"가구/인테리어 > 주방데코 > 식탁보"
상품구분(해외통관),ALABAE00,"가구/인테리어 > 주방데코 > 기타주방데코"
상품구분(해외통관),ALACAB00,"가구/인테리어 > 커튼/블라인드 > 커튼/블라인드"
상품구분(해외통관),ALACAA00,"가구/인테리어 > 커튼/블라인드 > 방충망/모기장"
상품구분(해외통관),ALAD0000,"가구/인테리어 > 카페트/러그"
상품구분(해외통관),ALAEAAAA,"가구/인테리어 > 침실가구 > 화장대 > 화장품함"
상품구분(해외통관),ALAEAAAB,"가구/인테리어 > 침실가구 > 화장대 > 화장대의자"
상품구분(해외통관),ALAEAAAC,"가구/인테리어 > 침실가구 > 화장대 > 화장대"
상품구분(해외통관),ALAEAB00,"가구/인테리어 > 침실가구 > 협탁"
상품구분(해외통관),ALAEAC00,"가구/인테리어 > 침실가구 > 침실세트"
상품구분(해외통관),ALAEAD00,"가구/인테리어 > 침실가구 > 침대"
상품구분(해외통관),ALAEAE00,"가구/인테리어 > 침실가구 > 매트리스"
상품구분(해외통관),ALAEAF00,"가구/인테리어 > 침실가구 > 거울"
상품구분(해외통관),ALAEAG00,"가구/인테리어 > 침실가구 > 침실가구세트"
상품구분(해외통관),ALAEAH00,"가구/인테리어 > 침실가구 > 솜"
상품구분(해외통관),ALAFAA00,"가구/인테리어 > 수납가구 > 장롱/붙박이장"
상품구분(해외통관),ALAFAB00,"가구/인테리어 > 수납가구 > 행거"
상품구분(해외통관),ALAFAC00,"가구/인테리어 > 수납가구 > 수납장"
상품구분(해외통관),ALAFAD00,"가구/인테리어 > 수납가구 > 우산꽂이"
상품구분(해외통관),ALAFAE00,"가구/인테리어 > 수납가구 > 신발장"
상품구분(해외통관),ALAGAA00,"가구/인테리어 > 침구 > 침구세트"
상품구분(해외통관),ALAGAB00,"가구/인테리어 > 침구 > 침대커버"
상품구분(해외통관),ALAGAC00,"가구/인테리어 > 침구 > 이불/패드/담요"
상품구분(해외통관),ALAGAD00,"가구/인테리어 > 침구 > 전기매트커버"
상품구분(해외통관),ALAGAE00,"가구/인테리어 > 침구 > 베개/베개커버"
상품구분(해외통관),ALAGAF00,"가구/인테리어 > 침구 > 무릎담요"
상품구분(해외통관),ALAHAA00,"가구/인테리어 > 주방가구 > 주방수납장"
상품구분(해외통관),ALAHAB00,"가구/인테리어 > 주방가구 > 왜건/카트"
상품구분(해외통관),ALAHAC00,"가구/인테리어 > 주방가구 > 와인랙"
상품구분(해외통관),ALAHAD00,"가구/인테리어 > 주방가구 > 싱크대"
상품구분(해외통관),ALAHAE00,"가구/인테리어 > 주방가구 > 테이블의자세트"
상품구분(해외통관),ALAHAF00,"가구/인테리어 > 주방가구 > 테이블"
상품구분(해외통관),ALAHAG00,"가구/인테리어 > 주방가구 > 의자"
상품구분(해외통관),ALAHAH00,"가구/인테리어 > 주방가구 > 렌지대"
상품구분(해외통관),ALAHAI00,"가구/인테리어 > 주방가구 > 기타주방가구"
상품구분(해외통관),ALAHAJ00,"가구/인테리어 > 주방가구 > 그릇장/컵보드"
상품구분(해외통관),ALAIAA00,"가구/인테리어 > 인테리어소품 > 화병"
상품구분(해외통관),ALAIAB00,"가구/인테리어 > 인테리어소품 > 조명"
상품구분(해외통관),ALAIAC00,"가구/인테리어 > 인테리어소품 > 전통공예소품"
상품구분(해외통관),ALAIAD00,"가구/인테리어 > 인테리어소품 > 장식인형"
상품구분(해외통관),ALAIAE00,"가구/인테리어 > 인테리어소품 > 장식미니어쳐"
상품구분(해외통관),ALAIAF00,"가구/인테리어 > 인테리어소품 > 인테리어파티션"
상품구분(해외통관),ALAIAG00,"가구/인테리어 > 인테리어소품 > 인테리어창문"
상품구분(해외통관),ALAIAH00,"가구/인테리어 > 인테리어소품 > 인테리어분수"
상품구분(해외통관),ALAIAI00,"가구/인테리어 > 인테리어소품 > 인터폰박스"
상품구분(해외통관),ALAIAJ00,"가구/인테리어 > 인테리어소품 > 워터볼"
상품구분(해외통관),ALAIAK00,"가구/인테리어 > 인테리어소품 > 우체통"
상품구분(해외통관),ALAIAL00,"가구/인테리어 > 인테리어소품 > 오르골"
상품구분(해외통관),ALAIAM00,"가구/인테리어 > 인테리어소품 > 앤틱소품"
상품구분(해외통관),ALAIAN00,"가구/인테리어 > 인테리어소품 > 액자"
상품구분(해외통관),ALAIAO00,"가구/인테리어 > 인테리어소품 > 아로마/향초용품"
상품구분(해외통관),ALAIAP00,"가구/인테리어 > 인테리어소품 > 시계"
상품구분(해외통관),ALAIAQ00,"가구/인테리어 > 인테리어소품 > 기타소품"
상품구분(해외통관),ALAIAS00,"가구/인테리어 > 인테리어소품 > 미술품"
상품구분(해외통관),ALAJAA00,"가구/인테리어 > 아웃도어가구 > 파라솔"
상품구분(해외통관),ALAJAB00,"가구/인테리어 > 아웃도어가구 > 정자"
상품구분(해외통관),ALAJAC00,"가구/인테리어 > 아웃도어가구 > 그네"
상품구분(해외통관),ALAJAD00,"가구/인테리어 > 아웃도어가구 > 테이블"
상품구분(해외통관),ALAJAE00,"가구/인테리어 > 아웃도어가구 > 의자"
상품구분(해외통관),ALAJAF00,"가구/인테리어 > 아웃도어가구 > 기타아웃도어가구"
상품구분(해외통관),ALAKAA00,"가구/인테리어 > 사무용가구 > 책장"
상품구분(해외통관),ALAKAB00,"가구/인테리어 > 사무용가구 > 책상의자세트"
상품구분(해외통관),ALAKAC00,"가구/인테리어 > 사무용가구 > 의자"
상품구분(해외통관),ALAKAD00,"가구/인테리어 > 사무용가구 > 책상"
상품구분(해외통관),ALAKAE00,"가구/인테리어 > 사무용가구 > 책상소품"
상품구분(해외통관),ALAKAF00,"가구/인테리어 > 사무용가구 > 의자소품"
상품구분(해외통관),ALAKAG00,"가구/인테리어 > 사무용가구 > 테이블"
상품구분(해외통관),ALAKAH00,"가구/인테리어 > 사무용가구 > 파티션"
상품구분(해외통관),ALAKAI00,"가구/인테리어 > 사무용가구 > 사무용수납가구"
상품구분(해외통관),ALAKAJ00,"가구/인테리어 > 사무용가구 > 기타 사무가구"
상품구분(해외통관),ALAKAK00,"가구/인테리어 > 사무용가구 > 사무용가구소품"
상품구분(해외통관),ALALAA00,"가구/인테리어 > 거실가구 > 소파"
상품구분(해외통관),ALALAB00,"가구/인테리어 > 거실가구 > 테이블"
상품구분(해외통관),ALALAC00,"가구/인테리어 > 거실가구 > 장식장"
상품구분(해외통관),ALALAD00,"가구/인테리어 > 거실가구 > TV거실장"
상품구분(해외통관),ALAMAA00,"가구/인테리어 > 수예 > 퀼트용품"
상품구분(해외통관),ALAMAB00,"가구/인테리어 > 수예 > 원단"
상품구분(해외통관),ALAMAC00,"가구/인테리어 > 수예 > 십자수용품"
상품구분(해외통관),ALAMAD00,"가구/인테리어 > 수예 > 수예용품/부자재"
상품구분(해외통관),ALAMAE00,"가구/인테리어 > 수예 > 뜨개질용품"
상품구분(해외통관),ALAMAF00,"가구/인테리어 > 수예 > 실"
상품구분(해외통관),ALAMAG00,"가구/인테리어 > 수예 > 바늘"
상품구분(해외통관),ALANAA00,"가구/인테리어 > DIY자재/용품 > 패널"
상품구분(해외통관),ALANAB00,"가구/인테리어 > DIY자재/용품 > 파벽돌"
상품구분(해외통관),ALANAC00,"가구/인테리어 > DIY자재/용품 > 타일"
상품구분(해외통관),ALANAD00,"가구/인테리어 > DIY자재/용품 > 접착제/보수용품"
상품구분(해외통관),ALANAE00,"가구/인테리어 > DIY자재/용품 > 시트지"
상품구분(해외통관),ALANAF00,"가구/인테리어 > DIY자재/용품 > 손잡이"
상품구분(해외통관),ALANAG00,"가구/인테리어 > DIY자재/용품 > 벽지"
상품구분(해외통관),ALANAH00,"가구/인테리어 > DIY자재/용품 > 반제품"
상품구분(해외통관),ALANAI00,"가구/인테리어 > DIY자재/용품 > 바닥재"
상품구분(해외통관),ALANAJ00,"가구/인테리어 > DIY자재/용품 > 몰딩"
상품구분(해외통관),ALANAK00,"가구/인테리어 > DIY자재/용품 > 목재"
상품구분(해외통관),ALANAL00,"가구/인테리어 > DIY자재/용품 > 데코스티커"
상품구분(해외통관),ALANAMAA,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 소켓/옷걸이봉"
상품구분(해외통관),ALANAMAB,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 서랍레일"
상품구분(해외통관),ALANAMAC,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 로프/철망"
상품구분(해외통관),ALANAMAD,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 나사/못"
상품구분(해외통관),ALANAMAE,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 기타가구부속품"
상품구분(해외통관),ALANAMAF,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 경첩/꺽쇠/자석철물류"
상품구분(해외통관),ALANAMAG,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 가구바퀴"
상품구분(해외통관),ALANAMAH,"가구/인테리어 > DIY자재/용품 > 가구부속품 > 가구다리"
상품구분(해외통관),AMAAAA00,"전자제품 > 컴퓨터 > 본체"
상품구분(해외통관),AMAAAB00,"전자제품 > 컴퓨터 > 모니터"
상품구분(해외통관),AMAAAC00,"전자제품 > 컴퓨터 > 키보드"
상품구분(해외통관),AMAAAD00,"전자제품 > 컴퓨터 > 마우스"
상품구분(해외통관),AMAAAE00,"전자제품 > 컴퓨터 > 스피커"
상품구분(해외통관),AMAAAF00,"전자제품 > 컴퓨터 > 프린터"
상품구분(해외통관),AMAAAG00,"전자제품 > 컴퓨터 > 복합기"
상품구분(해외통관),AMAAAH00,"전자제품 > 컴퓨터 > 잉크/토너"
상품구분(해외통관),AMAAAI00,"전자제품 > 컴퓨터 > CD/DVD"
상품구분(해외통관),AMAAAJ00,"전자제품 > 컴퓨터 > 블루레이"
상품구분(해외통관),AMAAAK00,"전자제품 > 컴퓨터 > USB"
상품구분(해외통관),AMAAAL00,"전자제품 > 컴퓨터 > 외장하드"
상품구분(해외통관),AMAAAM00,"전자제품 > 컴퓨터 > 노트북"
상품구분(해외통관),AMAAAN00,"전자제품 > 컴퓨터 > 배터리/충전기"
상품구분(해외통관),AMAAAO00,"전자제품 > 컴퓨터 > 케이블"
상품구분(해외통관),AMAAAP00,"전자제품 > 컴퓨터 > PC부품"
상품구분(해외통관),AMAAAQ00,"전자제품 > 컴퓨터 > 기타용품"
상품구분(해외통관),AMABAA00,"전자제품 > 휴대폰 > 태블릿PC"
상품구분(해외통관),AMABAB00,"전자제품 > 휴대폰 > 휴대폰"
상품구분(해외통관),AMABAC00,"전자제품 > 휴대폰 > PDA"
상품구분(해외통관),AMABAD00,"전자제품 > 휴대폰 > 스마트와치"
상품구분(해외통관),AMABAE00,"전자제품 > 휴대폰 > 배터리/충전기"
상품구분(해외통관),AMABAF00,"전자제품 > 휴대폰 > 젠더"
상품구분(해외통관),AMABAG00,"전자제품 > 휴대폰 > 케이블"
상품구분(해외통관),AMABAH00,"전자제품 > 휴대폰 > 기타용품"
상품구분(해외통관),AMACAA00,"전자제품 > 카메라 > 디지털카메라"
상품구분(해외통관),AMACAB00,"전자제품 > 카메라 > 캠코더"
상품구분(해외통관),AMACAC00,"전자제품 > 카메라 > DSLR"
상품구분(해외통관),AMACAD00,"전자제품 > 카메라 > 즉석카메라"
상품구분(해외통관),AMACAE00,"전자제품 > 카메라 > 필름카메라"
상품구분(해외통관),AMACAF00,"전자제품 > 카메라 > 렌즈"
상품구분(해외통관),AMACAG00,"전자제품 > 카메라 > 메모리카드"
상품구분(해외통관),AMACAH00,"전자제품 > 카메라 > 필름"
상품구분(해외통관),AMACAI00,"전자제품 > 카메라 > 배터리/충전기"
상품구분(해외통관),AMACAJ00,"전자제품 > 카메라 > 촬영보조용품"
상품구분(해외통관),AMACAK00,"전자제품 > 카메라 > 기타용품"
상품구분(해외통관),AMADAA00,"전자제품 > 주방가전 > 냉장고"
상품구분(해외통관),AMADAB00,"전자제품 > 주방가전 > 가스레인지"
상품구분(해외통관),AMADAC00,"전자제품 > 주방가전 > 전자레인지"
상품구분(해외통관),AMADAD00,"전자제품 > 주방가전 > 그릴"
상품구분(해외통관),AMADAE00,"전자제품 > 주방가전 > 밥솥"
상품구분(해외통관),AMADAF00,"전자제품 > 주방가전 > 오븐"
상품구분(해외통관),AMADAG00,"전자제품 > 주방가전 > 후드"
상품구분(해외통관),AMADAH00,"전자제품 > 주방가전 > 전기포트"
상품구분(해외통관),AMADAI00,"전자제품 > 주방가전 > 정수기"
상품구분(해외통관),AMADAJ00,"전자제품 > 주방가전 > 믹서기"
상품구분(해외통관),AMADAK00,"전자제품 > 주방가전 > 토스터기"
상품구분(해외통관),AMADAL00,"전자제품 > 주방가전 > 식기세척기"
상품구분(해외통관),AMADAM00,"전자제품 > 주방가전 > 전기후라이팬"
상품구분(해외통관),AMADAN00,"전자제품 > 주방가전 > 전기찜기"
상품구분(해외통관),AMADAO00,"전자제품 > 주방가전 > 제빙기"
상품구분(해외통관),AMADAP00,"전자제품 > 주방가전 > 기타용품"
상품구분(해외통관),AMAEAA00,"전자제품 > 생활가전 > 냉방가전"
상품구분(해외통관),AMAEAB00,"전자제품 > 생활가전 > 난방가전"
상품구분(해외통관),AMAEAC00,"전자제품 > 생활가전 > 세탁기"
상품구분(해외통관),AMAEAD00,"전자제품 > 생활가전 > 청소기"
상품구분(해외통관),AMAEAE00,"전자제품 > 생활가전 > 다리미"
상품구분(해외통관),AMAEAF00,"전자제품 > 생활가전 > 전화기"
상품구분(해외통관),AMAEAG00,"전자제품 > 생활가전 > 재봉틀"
상품구분(해외통관),AMAEAH00,"전자제품 > 생활가전 > 연수기"
상품구분(해외통관),AMAEAI00,"전자제품 > 생활가전 > 전동칫솔"
상품구분(해외통관),AMAEAJ00,"전자제품 > 생활가전 > 비데"
상품구분(해외통관),AMAEAK00,"전자제품 > 생활가전 > 계산기"
상품구분(해외통관),AMAEAL00,"전자제품 > 생활가전 > 기타용품"
상품구분(해외통관),AMAFAA00,"전자제품 > 미디어 > TV"
상품구분(해외통관),AMAFAB00,"전자제품 > 미디어 > DVD플레이어"
상품구분(해외통관),AMAFAC00,"전자제품 > 미디어 > 블루레이플레이어"
상품구분(해외통관),AMAFAD00,"전자제품 > 미디어 > 빔프로젝트"
상품구분(해외통관),AMAFAE00,"전자제품 > 미디어 > 셋톱박스"
상품구분(해외통관),AMAFAF00,"전자제품 > 미디어 > MP3"
상품구분(해외통관),AMAFAG00,"전자제품 > 미디어 > PMP"
상품구분(해외통관),AMAFAH00,"전자제품 > 미디어 > 오디오"
상품구분(해외통관),AMAFAI00,"전자제품 > 미디어 > 라디오"
상품구분(해외통관),AMAFAJ00,"전자제품 > 미디어 > 스피커"
상품구분(해외통관),AMAFAK00,"전자제품 > 미디어 > 마이크"
상품구분(해외통관),AMAFAL00,"전자제품 > 미디어 > 이어폰"
상품구분(해외통관),AMAFAM00,"전자제품 > 미디어 > 헤드폰"
상품구분(해외통관),AMAFAN00,"전자제품 > 미디어 > 녹음기"
상품구분(해외통관),AMAFAO00,"전자제품 > 미디어 > 홈시어터"
상품구분(해외통관),AMAFAP00,"전자제품 > 미디어 > 게임기"
상품구분(해외통관),AMAFAQ00,"전자제품 > 미디어 > 음향케이블"
상품구분(해외통관),AMAFAR00,"전자제품 > 미디어 > 기타용품"
상품구분(해외통관),ANAAAA00,"도서/음반 > 도서 > 도서"
상품구분(해외통관),ANAAAB00,"도서/음반 > 도서 > 전자사전"
상품구분(해외통관),ANAAAC00,"도서/음반 > 도서 > 전자책"
상품구분(해외통관),ANAAAD00,"도서/음반 > 도서 > 기타용품"
상품구분(해외통관),ANABAA00,"도서/음반 > 음반/비디오 > 음반"
상품구분(해외통관),ANABAB00,"도서/음반 > 음반/비디오 > 비디오"
상품구분(해외통관),ANABAC00,"도서/음반 > 음반/비디오 > 기타용품"
상품구분(해외통관),AOAAAA00,"생활용품 > 주방용품 > 냄비"
상품구분(해외통관),AOAAAB00,"생활용품 > 주방용품 > 후라이팬"
상품구분(해외통관),AOAAAC00,"생활용품 > 주방용품 > 솥"
상품구분(해외통관),AOAAAD00,"생활용품 > 주방용품 > 주전자"
상품구분(해외통관),AOAAAE00,"생활용품 > 주방용품 > 컵"
상품구분(해외통관),AOAAAF00,"생활용품 > 주방용품 > 유리잔"
상품구분(해외통관),AOAAAG00,"생활용품 > 주방용품 > 물병"
상품구분(해외통관),AOAAAH00,"생활용품 > 주방용품 > 수저"
상품구분(해외통관),AOAAAI00,"생활용품 > 주방용품 > 식기"
상품구분(해외통관),AOAAAJ00,"생활용품 > 주방용품 > 집게"
상품구분(해외통관),AOAAAK00,"생활용품 > 주방용품 > 쥬서/착즙기"
상품구분(해외통관),AOAAAL00,"생활용품 > 주방용품 > 밀폐용기"
